location_id,stop_name,stop_lon,stop_lat,total,greater_98,average_distance,pct_error
4181,"Bliss Rd & 26th Ave",-122.69738,45.72612,101,2,24.464169653465348,0.0198
6096,"NE 117th Ave & 65th St [sb]",-122.552696,45.670166,559,11,22.204917003577805,0.0197
728,"Fourth Plain & F St [wb]",-122.666901,45.640228,763,15,31.234724695937057,0.0197
2996,"NE 78th St 4800 Block",-122.620918,45.678638,51,1,10.56587011764706,0.0196
3128,"Burton & 87th Ave",-122.584114,45.639694,717,14,27.146574649930276,0.0195
536,"Columbia & 27th St [nb]",-122.673569,45.640881,155,3,23.50942147096774,0.0194
3259,"W 15th St 400 Block",-122.674973,45.63261,52,1,30.158036730769233,0.0192
1307,"Mill Plain 14100 Block [eb]",-122.52758,45.617939,1097,21,28.390161720145844,0.0191
1138,"Andresen & Evergreen Blvd [sb]",-122.604118,45.61454,262,5,28.313334778625954,0.0191
6002,"SW 6th & Columbia",-122.681068,45.514282,3815,73,30.669568483617297,0.0191
1346,"Hwy 99 7900 Block",-122.661644,45.680153,2045,39,24.56735775892426,0.0191
6083,"SE 34th St & 189th Ave [wb]",-122.480003,45.596771,525,10,24.005605758095257,0.0190
2664,"E 33rd St & V St [eb]",-122.64785,45.64502,105,2,16.76197359047619,0.0190
1120,"Andresen & 18th St [nb]",-122.600082,45.637093,853,16,26.785273159437303,0.0188
853,"NE 117th Ave & 76th St [sb]",-122.552658,45.678619,700,13,26.729350670000006,0.0186
2137,"Mill Plain & 160th Ave",-122.50898,45.616005,2485,46,62.780114816498994,0.0185
6089,"SE 34th Street & Hiddenbrook Dr [eb]",-122.483711,45.596546,270,5,68.04306123703705,0.0185
3022,"Hazel Dell Ave 7900 Block",-122.66922,45.680019,380,7,37.061091436842105,0.0184
5008,"SW 5th & Harrison",-122.681969,45.510895,1702,31,30.2462621786134,0.0182
1071,"Burton & 84th Ave",-122.586617,45.639969,1321,24,24.414566530658586,0.0182
6006,"SW 6th & Stark",-122.67749,45.520966,2914,53,36.65218871413866,0.0182
544,"Columbia & 33rd St [nb]",-122.673508,45.645229,110,2,20.267135163636375,0.0182
701,"Van Mall Dr & 94th Ave [wb]",-122.577606,45.658257,1617,29,19.000559429808323,0.0179
573,"Columbia & 29th St [sb]",-122.673683,45.642502,56,1,23.88700525000001,0.0179
3038,"NW 139th St at Sky View High School",-122.685051,45.7216,560,10,27.94804814107142,0.0179
2410,"NW 119th St at Felida Elementary",-122.699074,45.70731,279,5,20.077768279569895,0.0179
2210,"Hwy 99 6600 Block [nb]",-122.663399,45.6703,615,11,33.98427056585363,0.0179
3031,"NE 78th St & Hwy 99",-122.660103,45.678661,838,15,24.843567311455878,0.0179
231,"E 33rd St & Main, fairside  [wb]",-122.669922,45.645466,169,3,11.777414828402366,0.0178
1354,"Hwy 99 6600 Block [sb]",-122.663719,45.670448,458,8,28.535027065502184,0.0175
1315,"SE 164th Ave & McGillivray [sb]",-122.504066,45.603806,1282,22,21.738703284711367,0.0172
848,"NE 117th Ave & 107th St [sb]",-122.55291,45.699539,176,3,20.328215812500005,0.0170
989,"St Johns & 37th Ave [nb]",-122.63324,45.67395,118,2,20.09393287288135,0.0169
3013,"Hathaway Rd 1900 Block",-122.691628,45.723091,118,2,18.793658067796606,0.0169
2983,"NW 99th St & 12th Ave [eb]",-122.683983,45.69278,119,2,21.17558900000001,0.0168
2694,"NE 76th St 10600 Block",-122.564171,45.677727,364,6,45.83840821153843,0.0165
6004,"SW 6th & Taylor",-122.67923,45.517605,2908,48,36.38596198658881,0.0165
3297,"Kauffman & 32nd St",-122.68084,45.64463,304,5,27.010703069078946,0.0164
3306,"Grand & 6th St [sb]",-122.640717,45.625019,244,4,15.366944209016394,0.0164
101,"Parkrose/Sumner Transit Center",-122.564507,45.558762,8888,146,21.838247873424795,0.0164
3170,"NE Multnomah & 3rd [wb]",-122.662933,45.531151,245,4,38.81596312653062,0.0163
3131,"Andresen & Louisiana [nb]",-122.602051,45.61985,309,5,19.97163275404531,0.0162
749,"NW 9th Ave & 94th St [nb]",-122.679482,45.69001,124,2,34.6226261048387,0.0161
3119,"NE 112th Ave & 44th St",-122.557877,45.653759,62,1,38.06468343548388,0.0161
688,"Plomondon & Stapleton [eb]",-122.61763,45.64386,372,6,21.54144018817204,0.0161
5007,"SW 5th & Clay",-122.680496,45.513592,2550,41,28.015192185490136,0.0161
652,"E 18th St & Brandt [eb]",-122.630409,45.634739,817,13,60.02289926315796,0.0159
3703,"NE 139th St at Vancouver Clinic",-122.645844,45.721851,763,12,16.32074481782438,0.0157
2989,"NW 9th Ave 8200 Block",-122.679619,45.681831,65,1,21.16679566153846,0.0154
2846,"Lincoln & 41st St [sb]",-122.682579,45.651821,65,1,24.197376553846155,0.0154
2403,"W Main & 20th Ave",-122.557648,45.780651,65,1,16.461163830769227,0.0154
666,"McLoughlin & F St [wb]",-122.665947,45.634911,779,12,14.148469472400498,0.0154
1114,"Evergreen Blvd & Harney Wy [eb]",-122.629013,45.62376,130,2,16.466673246153846,0.0154
6081,"SE 192nd Ave & 20th St [sb]",-122.476006,45.606407,398,6,20.358318512562814,0.0151
1384,"W 6th St & Washington",-122.672386,45.625652,331,5,23.712616009063446,0.0151
300,"NE 138th Ave & 22nd St",-122.5308,45.638409,1001,15,27.67763896703297,0.0150
798,"Hazel Dell Ave 6000 Block",-122.669098,45.665791,133,2,14.063252030075187,0.0150
836,"W Main St 600 Block [wb]",-122.544487,45.780819,809,12,33.214398615574794,0.0148
986,"St Johns & Minnehaha",-122.636421,45.667389,544,8,21.66013591360293,0.0147
990,"St Johns & 40th Ave",-122.62986,45.675468,68,1,23.980217602941167,0.0147
6088,"SE 34th Street & 176th Avenue",-122.491783,45.596657,204,3,24.414543068627445,0.0147
2172,"Gher Rd & Coxley Dr [nb]",-122.559959,45.66325,1906,28,52.85572638929688,0.0147
3322,"NE 28th St & 135th Ave",-122.533478,45.642872,2059,30,20.052521720252525,0.0146
645,"Grand & 26th St",-122.641838,45.64024,137,2,15.179119445255479,0.0146
2963,"NW 99th St & 20th Ave",-122.691071,45.692902,205,3,16.92806966341462,0.0146
6178,"39th St. & J St. [nb]",-122.326836,45.583206,276,4,25.407033967391293,0.0145
